id,title,final_price,rating,image
22539952524,Sỉ 100 Dao gọt trái cây Nhật nhiều màu giá rẻ,358000,4.73,https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lfrz373oumi2c2_tn
19162306143,"Máy làm sữa hạt đa năng chính hãng Ceool - Máy làm sữa đậu nành, máy đa năng làm sữa đậu nành,nấu cháo chậm chống trào",974000,4.95,https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-manug7t3wi54d0_tn
20830363716,"Rổ Lọc Rác, Thức Ăn Thừa - Giỏ Đựng Dụng Cụ Bồn Rửa Bát - Ngăn Tắc Cống",75000,4.81,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lpdwdtzlli6z60_tn
23945370118,【Giao hàng 24 giờ⚡️】Cờ Lê Cầm Tay Tiết Kiệm Sức Lao Động Chuyên Dụng Sửa Chữa Bánh Xe Hơi,40000,4.78,https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lhyku4ey42wx09_tn
23951984516,"Cọ Rửa Cốc Chén Bình Sữa Silicon Cán Dài, Cọ Silicone Cán Dài Xoay 360 Độ Dùng Để Rửa Ly Chén Dĩa Tiện Lợi",3900,4.83,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lknly8a4qtii52_tn
7908414929,1kg túi nilon PE gói hàng Đỏ đẹp (bóng dai),35400,4.86,https://down-vn.img.susercontent.com/file/9ce71609c2a003c5ae59c68d926dfbac_tn
23974096701,Ống hút xăng dầu chất lỏng bóp tay dài 1m tiện lợi,24900,4.9,https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-ljcn3m1e4u6q47_tn
23981301191,[Trẻ Em Chuyên Nghiệp] Giày Đánh Cầu Lông / tennis Chính Hãng Thoáng Khí Cho Bé Trai Và Bé Gái,412263,4.33,https://down-vn.img.susercontent.com/file/vn-11134201-7r98o-lm19ghpmo0dbc9_tn
24834748936,Sách - Biệt thự buồn (Patrick Modiano) (Nhã Nam),100300,4.63,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-ma19yknb3nyy28_tn
27909686866,"L-Carnitine 1500mg, giúp đốt cháy mỡ thừa [60 viên]",591360,5.0,https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m2nij6s6tqd6f9_tn
28974218121,"[March Bundle] [Rom&nd] Combo 2 son tint nước siêu lì, lâu trôi Hàn Quốc Romand Glasting Water Tint 4g",338000,5.0,https://down-vn.img.susercontent.com/file/vn-11134201-7ras8-mb3lww3psn9zb1_tn
28071151317,Combo 12 Gói Khăn Ướt Molfix Thiên Nhiên (100 miếng/gói),275000,4.67,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m6gf8nat43lk08_tn
20085282653,"Bộ tua vít cách điện TOLSEN 38012, bộ 5 cây tua vít cách điện 1000V",180000,4.94,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lmx68hry5zvjd6_tn
2194817563,Bộ nồi chảo 3 đáy inox 403 Fivestar 5 món nắp kính tặng 5 muỗng ăn( N16cm x N18cm xN20cm x N24cm x chảo 24cm),1450000,4.94,https://down-vn.img.susercontent.com/file/sg-11134201-23010-pyvxnl7irgmvdf_tn
21881202903,Tã Quần Bobby/Baby Love Size XXXL 20-35 kg ( Siêu Tiết Kiệm ),202000,5.0,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m699ve2a154m3e_tn
18994841270,"Chảo INOX OLIVO STEVE X - Chống Dính Tự Nhiên, Đáy 5 Lớp, Đường Kính 24cm – Nấu Được Trên Mọi Loại Bếp-",1890000,5.0,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-maduo6xbsy5405_tn
23887459846,Inssa Bộ Ấm Điện Dung Tích 1.5L Màn Hình LCD 8 Chức Năng Cài Sẵn YSHU001- Bảo Hành 1 Năm,669000,4.92,https://down-vn.img.susercontent.com/file/sg-11134201-7rdwo-mcimlfy6po12fe_tn
21484477670,"Thùng 4 Bịch Giấy Vệ Sinh Treo Tường 5120 Tờ Cute Dog, Khăn Giấy Treo Đa Năng Cao Cấp Chính Hãng",135000,4.85,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m77rjlutaiv0f0_tn
24291289337,"Máy Xay Ăn Dặm CHIGO 8 Lưỡi Cầm Tay Mini  Xay Siêu Mịn Thịt, Tôm, Cá, Rau, Củ, Quả ,Đa Năng  Cối Thủy Tinh 150W 330ml",229000,5.0,https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8fuvjv4j8uf6a_tn
26262640326,"Khuôn Gói Giò Inox 304 Dày Dặn Chắc Chắn Có Van Nén Ép Chặt | Khuôn Gói Giò Thủ, Giò Xào",270000,4.89,https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m0pj76lj6ajxb7_tn
2079272837,Dây Treo Tập Bụng 6 Múi ABS Trap,250000,4.95,https://down-vn.img.susercontent.com/file/3fa0727c74018c280da7c5339215c11b_tn
15991948079,"Combo Bột Rau Củ 7 Vị Detox Thải Độc Dalahouse, Bột Cần Tây, Rau Má, Diếp Cá, Cỏ Lúa Mì, Cải Xoăn, Củ Dền,Bó Xôi 63g",185000,4.95,https://down-vn.img.susercontent.com/file/vn-11134201-7ra0g-m6v46ybz62bc04_tn
4651286934,Tay vặn nồi áp suất Tay vặn nhựa chịu nhiệt - linh kiện nồi áp suất,25000,4.74,https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lzonra863ue995_tn
13493856800,Vòi Chậu Lavabo Lạnh Inax LFV-17,693000,5.0,https://down-vn.img.susercontent.com/file/13e7520fb03b4d5396079fe7bf421650_tn
26265985627,Purple fashionable men jeans gray slim fit elastic jeans high-quality casual brand jeans,734400,5.0,https://down-vn.img.susercontent.com/file/cn-11134207-7r98o-lndopeidxymz16_tn
